event,time,src,dst,packetName,srcPort,dstPort,pktLen
1752,24.5248,10.1.0.11,10.1.0.42,attack,9003,9002,100
1753,24.5261,10.1.0.11,10.1.0.42,attack,9003,9002,100
1754,24.5265,10.1.0.11,10.1.0.42,attack,9003,9002,100
1755,24.6016,10.1.0.11,10.1.0.42,attack,9003,9002,100
1756,24.6023,10.1.0.11,10.1.0.42,attack,9003,9002,100
1757,24.603,10.1.0.2,10.1.0.42,normal,9001,9002,100
1758,24.6046,10.1.0.11,10.1.0.42,attack,9003,9002,100
1759,24.6049,10.1.0.11,10.1.0.42,attack,9003,9002,100
1760,24.6058,10.1.0.11,10.1.0.42,attack,9003,9002,100
1761,24.6084,10.1.0.11,10.1.0.42,attack,9003,9002,100
1762,24.6102,10.1.0.11,10.1.0.42,attack,9003,9002,100
1763,24.6108,10.1.0.11,10.1.0.42,attack,9003,9002,100
1764,24.611,10.1.0.11,10.1.0.42,attack,9003,9002,100
1765,24.6123,10.1.0.11,10.1.0.42,attack,9003,9002,100
1766,24.6132,10.1.0.11,10.1.0.42,attack,9003,9002,100
1767,24.6135,10.1.0.11,10.1.0.42,attack,9003,9002,100
1768,24.6139,10.1.0.11,10.1.0.42,attack,9003,9002,100
1769,24.6143,10.1.0.11,10.1.0.42,attack,9003,9002,100
1770,24.6147,10.1.0.11,10.1.0.42,attack,9003,9002,100
1771,24.6152,10.1.0.11,10.1.0.42,attack,9003,9002,100
1772,24.6157,10.1.0.11,10.1.0.42,attack,9003,9002,100
1773,24.6162,10.1.0.11,10.1.0.42,attack,9003,9002,100
1774,24.6165,10.1.0.11,10.1.0.42,attack,9003,9002,100
1775,24.617,10.1.0.11,10.1.0.42,attack,9003,9002,100
1776,24.6216,10.1.0.12,10.1.0.42,normal,9001,9002,100
1777,24.7004,10.1.0.11,10.1.0.42,attack,9003,9002,100
1778,24.7014,10.1.0.11,10.1.0.42,attack,9003,9002,100
1779,24.7021,10.1.0.11,10.1.0.42,attack,9003,9002,100
1780,24.7027,10.1.0.11,10.1.0.42,attack,9003,9002,100
1781,24.7044,10.1.0.11,10.1.0.42,attack,9003,9002,100
1782,24.705,10.1.0.11,10.1.0.42,attack,9003,9002,100
1783,24.7056,10.1.0.11,10.1.0.42,attack,9003,9002,100
1784,24.7063,10.1.0.11,10.1.0.42,attack,9003,9002,100
1785,24.7069,10.1.0.11,10.1.0.42,attack,9003,9002,100
1786,24.7075,10.1.0.11,10.1.0.42,attack,9003,9002,100
1787,24.7096,10.1.0.11,10.1.0.42,attack,9003,9002,100
1788,24.7111,10.1.0.11,10.1.0.42,attack,9003,9002,100
1789,24.7117,10.1.0.11,10.1.0.42,attack,9003,9002,100
1790,24.712,10.1.0.11,10.1.0.42,attack,9003,9002,100
1791,24.7123,10.1.0.11,10.1.0.42,attack,9003,9002,100
1792,24.7129,10.1.0.11,10.1.0.42,attack,9003,9002,100
1793,24.7132,10.1.0.11,10.1.0.42,attack,9003,9002,100
1794,24.7136,10.1.0.11,10.1.0.42,attack,9003,9002,100
1795,24.7139,10.1.0.11,10.1.0.42,attack,9003,9002,100
1796,24.7143,10.1.0.11,10.1.0.42,attack,9003,9002,100
1797,24.7881,10.1.0.2,10.1.0.42,normal,9001,9002,100
1798,24.8016,10.1.0.11,10.1.0.42,attack,9003,9002,100
1799,24.8035,10.1.0.11,10.1.0.42,attack,9003,9002,100
1800,24.8041,10.1.0.11,10.1.0.42,attack,9003,9002,100
1801,24.805,10.1.0.11,10.1.0.42,attack,9003,9002,100
1802,24.8057,10.1.0.11,10.1.0.42,attack,9003,9002,100
1803,24.8062,10.1.0.11,10.1.0.42,attack,9003,9002,100
1804,24.8069,10.1.0.11,10.1.0.42,attack,9003,9002,100
1805,24.8075,10.1.0.11,10.1.0.42,attack,9003,9002,100
1806,24.8083,10.1.0.11,10.1.0.42,attack,9003,9002,100
1807,24.809,10.1.0.11,10.1.0.42,attack,9003,9002,100
1808,24.8096,10.1.0.11,10.1.0.42,attack,9003,9002,100
1809,24.8103,10.1.0.11,10.1.0.42,attack,9003,9002,100
1810,24.8112,10.1.0.11,10.1.0.42,attack,9003,9002,100
1811,24.8119,10.1.0.11,10.1.0.42,attack,9003,9002,100
1812,24.8124,10.1.0.11,10.1.0.42,attack,9003,9002,100
1813,24.8131,10.1.0.11,10.1.0.42,attack,9003,9002,100
1814,24.8138,10.1.0.11,10.1.0.42,attack,9003,9002,100
1815,24.815,10.1.0.11,10.1.0.42,attack,9003,9002,100
1816,24.8153,10.1.0.11,10.1.0.42,attack,9003,9002,100
1817,24.8157,10.1.0.11,10.1.0.42,attack,9003,9002,100
1818,24.8624,10.1.0.12,10.1.0.42,normal,9001,9002,100
1819,24.8669,10.1.0.13,10.1.0.42,normal,9001,9002,100
1820,24.8953,10.1.0.11,10.1.0.42,normal,9001,9002,100
1821,24.9005,10.1.0.11,10.1.0.42,attack,9003,9002,100
1822,24.9011,10.1.0.11,10.1.0.42,attack,9003,9002,100
1823,24.9018,10.1.0.11,10.1.0.42,attack,9003,9002,100
1824,24.909,10.1.0.11,10.1.0.42,attack,9003,9002,100
1825,24.9094,10.1.0.11,10.1.0.42,attack,9003,9002,100
1826,24.9097,10.1.0.11,10.1.0.42,attack,9003,9002,100
1827,24.9104,10.1.0.11,10.1.0.42,attack,9003,9002,100
1828,24.9107,10.1.0.11,10.1.0.42,attack,9003,9002,100
1829,24.9114,10.1.0.11,10.1.0.42,attack,9003,9002,100
1830,24.9117,10.1.0.11,10.1.0.42,attack,9003,9002,100
1831,24.9119,10.1.0.11,10.1.0.42,attack,9003,9002,100
1832,24.913,10.1.0.11,10.1.0.42,attack,9003,9002,100
1833,24.9134,10.1.0.11,10.1.0.42,attack,9003,9002,100
1834,24.9141,10.1.0.11,10.1.0.42,attack,9003,9002,100
1835,24.9159,10.1.0.11,10.1.0.42,attack,9003,9002,100
1836,24.9166,10.1.0.11,10.1.0.42,attack,9003,9002,100
1837,24.9171,10.1.0.11,10.1.0.42,attack,9003,9002,100
1838,24.9188,10.1.0.11,10.1.0.42,attack,9003,9002,100
1839,24.9197,10.1.0.11,10.1.0.42,attack,9003,9002,100
